loss = 2.6178916975091706, MAPE = 0.3950612648124038
loss = 2.8194888290305604, MAPE = 3.8620723069381575
loss = 2.549647838163838, MAPE = 0.28904815026122954
loss = 2.7217086439066915, MAPE = 0.2726503102641673
loss = 2.5111675157545106, MAPE = 0.29160445937128576
loss = 2.639229126193081, MAPE = 0.3060751114316981
loss = 2.712519631928599, MAPE = 0.34762095863203546
loss = 2.5259983208169676, MAPE = 0.2933835415474426
loss = 2.668616856393393, MAPE = 0.34452443484735545
loss = 2.407442490314029, MAPE = 0.28653514995826895
loss = 2.4387149111418944, MAPE = 0.7181087105535083
loss = 2.9615745177060155, MAPE = 0.31990578408173925
loss = 2.721304589627603, MAPE = 0.2815014742133201
loss = 2.649608846380617, MAPE = 0.2775413751893514
loss = 2.6608388390550424, MAPE = 0.6966588035678094
loss = 2.9345923810531347, MAPE = 0.4343866095577734
loss = 2.8054864084005344, MAPE = 0.4783004975170773
loss = 2.5847893854882202, MAPE = 0.3661310877827944
loss = 2.832518615035662, MAPE = 0.6166623332481566
loss = 2.2965644701877825, MAPE = 0.2694827183573769
loss = 2.414069914592335, MAPE = 0.24949437555970555
loss = 2.5932406423021024, MAPE = 0.2913132299873321
loss = 2.94816881011812, MAPE = 0.5365310318900638
loss = 2.675426248485159, MAPE = 0.3381900313674276
loss = 2.5768875869067003, MAPE = 0.4016963800952369
loss = 2.724954945431396, MAPE = 0.3515772504807598
loss = 2.6738749039881418, MAPE = 0.5759433220093352
loss = 2.8449606729731203, MAPE = 0.32682632499778924
loss = 2.257764564267731, MAPE = 0.225186803277445
loss = 2.4958168633981725, MAPE = 1.5343170805366622
loss = 2.4405910583289114, MAPE = 0.24686679393605235
loss = 2.464118576633191, MAPE = 0.25625525821834566
loss = 2.590526035438745, MAPE = 0.3235634327886397
loss = 2.420062771798101, MAPE = 0.2946922734584807
loss = 2.844075795179312, MAPE = 0.34803407727842517
loss = 2.4622283980312187, MAPE = 0.2731588327560322
loss = 2.664338069455556, MAPE = 0.36779787912597267
loss = 2.5370117426606407, MAPE = 0.29627161548208186
loss = 2.534333713703031, MAPE = 0.2988815504504899
loss = 2.839413365812412, MAPE = 0.33406296435792493
loss = 2.3929538725602417, MAPE = 0.3245663049688537
loss = 2.444959535596637, MAPE = 0.2513692537676329
loss = 2.5230627573911595, MAPE = 0.2741629252211861
loss = 2.1724009745083346, MAPE = 0.22239890252206668
loss = 2.6610198279972233, MAPE = 6.152059932384401
loss = 2.36867791032648, MAPE = 0.26169688754970644
loss = 2.4806984631994724, MAPE = 0.27154172181951886
loss = 2.6738404592378067, MAPE = 1.5637056925067379
loss = 2.4482264019369153, MAPE = 0.46585507563121475
loss = 2.579779515983599, MAPE = 0.37408297223352266
loss = 2.336197881161563, MAPE = 0.29107231179529264
loss = 2.4783033745247502, MAPE = 0.508670927563158
loss = 2.8493710169075475, MAPE = 0.3134870540818553
loss = 2.3280052050705917, MAPE = 0.2362709002038472
loss = 2.277926263998828, MAPE = 0.2680084902670866
loss = 2.868910667842278, MAPE = 0.740176447659741
loss = 2.371460975133866, MAPE = 0.3295722413115131
loss = 2.0439052402651505, MAPE = 0.31108646160826586
loss = 2.2310930956004658, MAPE = 0.2562413173178928
loss = 2.396526774297479, MAPE = 0.30009742277282053
loss = 2.529758561743078, MAPE = 0.36744146262598654
loss = 2.4056269700522845, MAPE = 0.2659184609013867
loss = 2.4336290629250583, MAPE = 0.29328236258260865
loss = 2.3863227703797705, MAPE = 0.28298263815359603
loss = 2.265934087870934, MAPE = 0.4268612167046528
loss = 2.4081210163846127, MAPE = 0.5933121166368766
loss = 2.710180728476141, MAPE = 0.8367223375845227
loss = 2.445412333988754, MAPE = 0.3184805072684537
loss = 2.3704621693517343, MAPE = 0.266059838764344
loss = 2.2284134345706286, MAPE = 0.3510650589143606
loss = 2.2510388274279545, MAPE = 0.3634979516326902
loss = 2.281442515484874, MAPE = 0.24345381762874882
loss = 2.8222707998032384, MAPE = 0.6294415911150723
loss = 2.725913914129115, MAPE = 0.36120592971540044
loss = 2.586133048943274, MAPE = 0.5021363076987051
loss = 2.377058745309088, MAPE = 0.2756248953675531
loss = 2.4298629323137684, MAPE = 0.3222523505133293
